permuted	alpha	incl_degrees	tjur	tjur_lower	tjur_upper	auroc	auroc_lower	auroc_upper	auprc	auprc_lower	auprc_upper
0	1	1	0.784256673152565	0.777051042307752	0.791462303997377	0.992568659269328	0.991772229499078	0.993365089039578	0.972834114508595	0.970565647374286	0.975102581642905
0	0	1	0.745713936722331	0.737175573300643	0.75425230014402	0.992108591728436	0.991264272119665	0.992952911337207	0.974869176574317	0.972873535202013	0.976864817946621
0	1	0	0.725951320657931	0.725951320657931	0.725951320657931	0.981194684443631	0.981194684443631	0.981194684443631	0.948223201043107	0.948223201043107	0.948223201043107
0	0	0	0.712711235127428	0.704141400933972	0.721281069320884	0.987149949563616	0.986036684899717	0.988263214227514	0.964585525012047	0.962277115065888	0.966893934958206
1	1	1	0.69605898100344	0.686132680702083	0.705985281304796	0.983428761896399	0.982028899646468	0.984828624146331	0.945369360102513	0.941302973332727	0.9494357468723
1	0	1	0.670024994611009	0.659477304408284	0.680572684813733	0.985079584228749	0.983731790523511	0.986427377933987	0.9607365655675	0.95797730968432	0.96349582145068
1	1	0	0.633747259893845	0.625593188650864	0.641901331136826	0.971764098065868	0.97012335153265	0.973404844599087	0.923313294912745	0.919001298385921	0.927625291439569
1	0	0	0.606676900289414	0.596633846105922	0.616719954472906	0.974229393447649	0.972343835547509	0.976114951347788	0.93609702668226	0.932433866043176	0.939760187321345
