hetnet	feature	nonzero	auroc	auprc	feature_type	permuted
rephetio-v2.0_perm-1	DpC	0.50649	0.59501	0.24951	degree	1
rephetio-v2.0_perm-2	DpC	0.50623	0.59618	0.25179	degree	1
rephetio-v2.0_perm-3	DpC	0.49351	0.60438	0.25965	degree	1
rephetio-v2.0_perm-4	DpC	0.50199	0.60047	0.25619	degree	1
rephetio-v2.0_perm-5	DpC	0.49166	0.6066	0.26262	degree	1
rephetio-v2.0	DpS	0.98623	0.55647	0.21897	degree	0
rephetio-v2.0_perm-1	DpS	0.98755	0.5472	0.21648	degree	1
rephetio-v2.0_perm-2	DpS	0.98649	0.54578	0.21485	degree	1
rephetio-v2.0_perm-3	DpS	0.98702	0.55061	0.21787	degree	1
rephetio-v2.0_perm-4	DpS	0.98437	0.54276	0.21079	degree	1
rephetio-v2.0_perm-5	DpS	0.98517	0.55683	0.22292	degree	1
rephetio-v2.0	DrD	0.96424	0.47847	0.19402	degree	0
rephetio-v2.0_perm-1	DrD	0.96106	0.46888	0.18845	degree	1
rephetio-v2.0_perm-2	DrD	0.96053	0.47183	0.19049	degree	1
rephetio-v2.0_perm-3	DrD	0.96318	0.46625	0.1874	degree	1
rephetio-v2.0_perm-4	DrD	0.96238	0.46451	0.18577	degree	1
rephetio-v2.0_perm-5	DrD	0.95974	0.46837	0.18938	degree	1
rephetio-v2.0	DtC	1	0.75526	0.46475	degree	0
rephetio-v2.0_perm-1	DtC	1	0.76246	0.45689	degree	1
rephetio-v2.0_perm-2	DtC	1	0.77058	0.48263	degree	1
rephetio-v2.0_perm-3	DtC	1	0.76169	0.46711	degree	1
rephetio-v2.0_perm-4	DtC	1	0.7608	0.45842	degree	1
rephetio-v2.0_perm-5	DtC	1	0.76859	0.47047	degree	1
rephetio-v2.0	DuG	0.5004	0.57868	0.36195	degree	0
rephetio-v2.0_perm-1	DuG	0.48583	0.58299	0.36385	degree	1
rephetio-v2.0_perm-2	DuG	0.49404	0.57751	0.36117	degree	1
rephetio-v2.0_perm-3	DuG	0.48874	0.58246	0.36359	degree	1
rephetio-v2.0_perm-4	DuG	0.49245	0.57965	0.36221	degree	1
rephetio-v2.0_perm-5	DuG	0.48636	0.58481	0.365	degree	1
rephetio-v2.0	CbG<rG<rGaD	0.84185	0.64161	0.32995	dwpc	0
rephetio-v2.0_perm-1	CbG<rG<rGaD	0.76106	0.58384	0.27386	dwpc	1
rephetio-v2.0_perm-2	CbG<rG<rGaD	0.76344	0.57377	0.26269	dwpc	1
rephetio-v2.0_perm-3	CbG<rG<rGaD	0.78119	0.58038	0.2873	dwpc	1
rephetio-v2.0_perm-4	CbG<rG<rGaD	0.75391	0.56139	0.26586	dwpc	1
rephetio-v2.0_perm-5	CbG<rG<rGaD	0.74675	0.57511	0.25686	dwpc	1
rephetio-v2.0	CbG<rG<rGdD	0.37907	0.58289	0.28009	dwpc	0
rephetio-v2.0_perm-1	CbG<rG<rGdD	0.34119	0.56018	0.23404	dwpc	1
rephetio-v2.0_perm-2	CbG<rG<rGdD	0.34331	0.55905	0.23453	dwpc	1
rephetio-v2.0_perm-3	CbG<rG<rGdD	0.34861	0.56307	0.25	dwpc	1
rephetio-v2.0_perm-4	CbG<rG<rGdD	0.33086	0.55114	0.22945	dwpc	1
rephetio-v2.0_perm-5	CbG<rG<rGdD	0.33695	0.55934	0.23258	dwpc	1
rephetio-v2.0	CbG<rG<rGuD	0.3849	0.58248	0.28628	dwpc	0
rephetio-v2.0_perm-1	CbG<rG<rGuD	0.35947	0.57167	0.23931	dwpc	1
rephetio-v2.0_perm-2	CbG<rG<rGuD	0.35497	0.57496	0.24381	dwpc	1
rephetio-v2.0_perm-3	CbG<rG<rGuD	0.36159	0.57396	0.25174	dwpc	1
rephetio-v2.0_perm-4	CbG<rG<rGuD	0.3253	0.55675	0.23672	dwpc	1
rephetio-v2.0_perm-5	CbG<rG<rGuD	0.33272	0.56156	0.23612	dwpc	1
rephetio-v2.0	CbG<rGaD	0.45483	0.6133	0.31433	dwpc	0
rephetio-v2.0_perm-1	CbG<rGaD	0.45192	0.58375	0.26939	dwpc	1
rephetio-v2.0_perm-2	CbG<rGaD	0.39179	0.57175	0.25951	dwpc	1
rephetio-v2.0_perm-3	CbG<rGaD	0.40954	0.58554	0.28223	dwpc	1
rephetio-v2.0_perm-4	CbG<rGaD	0.41987	0.56943	0.25733	dwpc	1
rephetio-v2.0_perm-5	CbG<rGaD	0.44636	0.57242	0.24822	dwpc	1
rephetio-v2.0	CbG<rGaDrD	0.62861	0.55584	0.24725	dwpc	0
rephetio-v2.0_perm-1	CbG<rGaDrD	0.55735	0.50028	0.19641	dwpc	1
rephetio-v2.0_perm-2	CbG<rGaDrD	0.54252	0.51614	0.205	dwpc	1
rephetio-v2.0_perm-3	CbG<rGaDrD	0.55709	0.54608	0.22946	dwpc	1
rephetio-v2.0_perm-4	CbG<rGaDrD	0.54623	0.50149	0.19891	dwpc	1
rephetio-v2.0_perm-5	CbG<rGaDrD	0.55894	0.52901	0.20582	dwpc	1
rephetio-v2.0	CbG<rGbCpD	0.14066	0.55832	0.28092	dwpc	0
rephetio-v2.0_perm-1	CbG<rGbCpD	0.1555	0.53433	0.2424	dwpc	1
rephetio-v2.0_perm-2	CbG<rGbCpD	0.11364	0.54059	0.26391	dwpc	1
rephetio-v2.0_perm-3	CbG<rGbCpD	0.12927	0.5529	0.27573	dwpc	1
rephetio-v2.0_perm-4	CbG<rGbCpD	0.14066	0.53202	0.24337	dwpc	1
rephetio-v2.0_perm-5	CbG<rGbCpD	0.12212	0.5318	0.24759	dwpc	1
rephetio-v2.0	CbG<rGbCtD	0.3751	0.60629	0.31503	dwpc	0
rephetio-v2.0_perm-1	CbG<rGbCtD	0.34781	0.5931	0.27753	dwpc	1
rephetio-v2.0_perm-2	CbG<rGbCtD	0.28318	0.57361	0.263	dwpc	1
rephetio-v2.0_perm-3	CbG<rGbCtD	0.3253	0.59139	0.27407	dwpc	1
rephetio-v2.0_perm-4	CbG<rGbCtD	0.32795	0.56787	0.25006	dwpc	1
rephetio-v2.0_perm-5	CbG<rGbCtD	0.31735	0.58085	0.26369	dwpc	1
rephetio-v2.0	CbG<rGcGaD	0.56689	0.61689	0.29531	dwpc	0
rephetio-v2.0_perm-1	CbG<rGcGaD	0.51126	0.58479	0.27459	dwpc	1
rephetio-v2.0_perm-2	CbG<rGcGaD	0.45801	0.56764	0.25272	dwpc	1
rephetio-v2.0_perm-3	CbG<rGcGaD	0.45987	0.58429	0.27552	dwpc	1
rephetio-v2.0_perm-4	CbG<rGcGaD	0.46914	0.56326	0.25423	dwpc	1
rephetio-v2.0_perm-5	CbG<rGcGaD	0.48927	0.57367	0.25391	dwpc	1
rephetio-v2.0	CbG<rGcGdD	0.27444	0.56752	0.25862	dwpc	0
rephetio-v2.0_perm-1	CbG<rGcGdD	0.26305	0.54247	0.22671	dwpc	1
rephetio-v2.0_perm-2	CbG<rGcGdD	0.24291	0.54132	0.22967	dwpc	1
rephetio-v2.0_perm-3	CbG<rGcGdD	0.23788	0.54933	0.24771	dwpc	1
rephetio-v2.0_perm-4	CbG<rGcGdD	0.23735	0.53303	0.22897	dwpc	1
rephetio-v2.0_perm-5	CbG<rGcGdD	0.23974	0.53485	0.22613	dwpc	1
rephetio-v2.0	CbG<rGcGuD	0.26702	0.56759	0.27285	dwpc	0
rephetio-v2.0_perm-1	CbG<rGcGuD	0.2596	0.55038	0.23911	dwpc	1
rephetio-v2.0_perm-2	CbG<rGcGuD	0.23338	0.54495	0.23838	dwpc	1
rephetio-v2.0_perm-3	CbG<rGcGuD	0.23285	0.56236	0.25572	dwpc	1
rephetio-v2.0_perm-4	CbG<rGcGuD	0.24	0.54999	0.24137	dwpc	1
rephetio-v2.0_perm-5	CbG<rGcGuD	0.23576	0.54277	0.23097	dwpc	1
rephetio-v2.0	CbG<rGdAlD	0.72106	0.58279	0.26362	dwpc	0
rephetio-v2.0_perm-1	CbG<rGdAlD	0.73881	0.54732	0.21826	dwpc	1
rephetio-v2.0_perm-2	CbG<rGdAlD	0.69404	0.55203	0.22914	dwpc	1
rephetio-v2.0_perm-3	CbG<rGdAlD	0.73139	0.52642	0.22978	dwpc	1
rephetio-v2.0_perm-4	CbG<rGdAlD	0.73113	0.49999	0.20201	dwpc	1
rephetio-v2.0_perm-5	CbG<rGdAlD	0.7306	0.52971	0.209	dwpc	1
rephetio-v2.0	CbG<rGdCpD	0.18384	0.56169	0.28619	dwpc	0
rephetio-v2.0_perm-1	CbG<rGdCpD	0.19232	0.54352	0.24354	dwpc	1
rephetio-v2.0_perm-2	CbG<rGdCpD	0.1245	0.5274	0.24188	dwpc	1
rephetio-v2.0_perm-3	CbG<rGdCpD	0.14225	0.55096	0.27265	dwpc	1
rephetio-v2.0_perm-4	CbG<rGdCpD	0.17166	0.54938	0.25202	dwpc	1
rephetio-v2.0_perm-5	CbG<rGdCpD	0.14437	0.53063	0.24313	dwpc	1
rephetio-v2.0	CbG<rGdCtD	0.60397	0.62296	0.34433	dwpc	0
rephetio-v2.0_perm-1	CbG<rGdCtD	0.58066	0.60173	0.28449	dwpc	1
rephetio-v2.0_perm-2	CbG<rGdCtD	0.5396	0.59923	0.27696	dwpc	1
rephetio-v2.0_perm-3	CbG<rGdCtD	0.57457	0.59085	0.28353	dwpc	1
rephetio-v2.0_perm-4	CbG<rGdCtD	0.54967	0.58473	0.25609	dwpc	1
rephetio-v2.0_perm-5	CbG<rGdCtD	0.57563	0.60887	0.28353	dwpc	1
rephetio-v2.0	CbG<rGdD	0.20265	0.55945	0.27301	dwpc	0
rephetio-v2.0_perm-1	CbG<rGdD	0.1902	0.53571	0.23141	dwpc	1
rephetio-v2.0_perm-2	CbG<rGdD	0.17219	0.52662	0.22579	dwpc	1
rephetio-v2.0_perm-3	CbG<rGdD	0.17113	0.54361	0.25128	dwpc	1
rephetio-v2.0_perm-4	CbG<rGdD	0.17695	0.52367	0.22177	dwpc	1
rephetio-v2.0_perm-5	CbG<rGdD	0.17695	0.52106	0.21792	dwpc	1
rephetio-v2.0	CbG<rGdDrD	0.42887	0.54465	0.23515	dwpc	0
rephetio-v2.0_perm-1	CbG<rGdDrD	0.37033	0.50422	0.1989	dwpc	1
rephetio-v2.0_perm-2	CbG<rGdDrD	0.37589	0.50083	0.20423	dwpc	1
rephetio-v2.0_perm-3	CbG<rGdDrD	0.37934	0.55073	0.2457	dwpc	1
rephetio-v2.0_perm-4	CbG<rGdDrD	0.36954	0.4969	0.1967	dwpc	1
rephetio-v2.0_perm-5	CbG<rGdDrD	0.38967	0.48768	0.19007	dwpc	1
rephetio-v2.0	CbG<rGeAlD	0.87523	0.59579	0.26625	dwpc	0
rephetio-v2.0_perm-1	CbG<rGeAlD	0.79417	0.54289	0.21851	dwpc	1
rephetio-v2.0_perm-2	CbG<rGeAlD	0.80291	0.53818	0.22216	dwpc	1
rephetio-v2.0_perm-3	CbG<rGeAlD	0.82384	0.54511	0.23194	dwpc	1
rephetio-v2.0_perm-4	CbG<rGeAlD	0.83656	0.52909	0.21387	dwpc	1
rephetio-v2.0_perm-5	CbG<rGeAlD	0.80768	0.53291	0.21021	dwpc	1
rephetio-v2.0	CbG<rGiGaD	0.81139	0.63443	0.32767	dwpc	0
rephetio-v2.0_perm-1	CbG<rGiGaD	0.75629	0.58248	0.27294	dwpc	1
rephetio-v2.0_perm-2	CbG<rGiGaD	0.74596	0.57324	0.26151	dwpc	1
rephetio-v2.0_perm-3	CbG<rGiGaD	0.77881	0.57306	0.27648	dwpc	1
rephetio-v2.0_perm-4	CbG<rGiGaD	0.74993	0.56632	0.26358	dwpc	1
rephetio-v2.0_perm-5	CbG<rGiGaD	0.73934	0.57569	0.25421	dwpc	1
rephetio-v2.0	CbG<rGiGdD	0.36636	0.57264	0.27368	dwpc	0
rephetio-v2.0_perm-1	CbG<rGiGdD	0.33589	0.5536	0.23059	dwpc	1
rephetio-v2.0_perm-2	CbG<rGiGdD	0.33139	0.55585	0.23607	dwpc	1
rephetio-v2.0_perm-3	CbG<rGiGdD	0.33801	0.55707	0.2433	dwpc	1
rephetio-v2.0_perm-4	CbG<rGiGdD	0.33298	0.55352	0.23089	dwpc	1
rephetio-v2.0_perm-5	CbG<rGiGdD	0.33113	0.56487	0.23742	dwpc	1
rephetio-v2.0	CbG<rGiGuD	0.36662	0.58685	0.2913	dwpc	0
rephetio-v2.0_perm-1	CbG<rGiGuD	0.34066	0.56261	0.23416	dwpc	1
rephetio-v2.0_perm-2	CbG<rGiGuD	0.33563	0.56642	0.24183	dwpc	1
rephetio-v2.0_perm-3	CbG<rGiGuD	0.34623	0.56535	0.24579	dwpc	1
rephetio-v2.0_perm-4	CbG<rGiGuD	0.33272	0.56023	0.23826	dwpc	1
rephetio-v2.0_perm-5	CbG<rGiGuD	0.33139	0.56639	0.23946	dwpc	1
rephetio-v2.0	CbG<rGr>GaD	0.84715	0.64516	0.3371	dwpc	0
rephetio-v2.0_perm-1	CbG<rGr>GaD	0.80132	0.5847	0.27516	dwpc	1
rephetio-v2.0_perm-2	CbG<rGr>GaD	0.80742	0.57898	0.26387	dwpc	1
rephetio-v2.0_perm-3	CbG<rGr>GaD	0.8196	0.5746	0.27876	dwpc	1
rephetio-v2.0_perm-4	CbG<rGr>GaD	0.81325	0.57303	0.2716	dwpc	1
rephetio-v2.0_perm-5	CbG<rGr>GaD	0.79258	0.58524	0.26722	dwpc	1
rephetio-v2.0	CbG<rGr>GdD	0.38305	0.57563	0.27421	dwpc	0
rephetio-v2.0_perm-1	CbG<rGr>GdD	0.35497	0.5654	0.23747	dwpc	1
rephetio-v2.0_perm-2	CbG<rGr>GdD	0.37166	0.56081	0.23378	dwpc	1
rephetio-v2.0_perm-3	CbG<rGr>GdD	0.36265	0.56768	0.25004	dwpc	1
rephetio-v2.0_perm-4	CbG<rGr>GdD	0.37007	0.55815	0.23152	dwpc	1
rephetio-v2.0_perm-5	CbG<rGr>GdD	0.35523	0.56849	0.23677	dwpc	1
rephetio-v2.0	CbG<rGr>GuD	0.39921	0.59232	0.29857	dwpc	0
rephetio-v2.0_perm-1	CbG<rGr>GuD	0.3804	0.57498	0.239	dwpc	1
rephetio-v2.0_perm-2	CbG<rGr>GuD	0.37987	0.57498	0.24374	dwpc	1
rephetio-v2.0_perm-3	CbG<rGr>GuD	0.37748	0.57465	0.25079	dwpc	1
rephetio-v2.0_perm-4	CbG<rGr>GuD	0.37642	0.56801	0.2409	dwpc	1
rephetio-v2.0_perm-5	CbG<rGr>GuD	0.37245	0.57487	0.24021	dwpc	1
rephetio-v2.0	CbG<rGuAlD	0.71682	0.58097	0.26634	dwpc	0
rephetio-v2.0_perm-1	CbG<rGuAlD	0.72901	0.5475	0.21908	dwpc	1
rephetio-v2.0_perm-2	CbG<rGuAlD	0.69139	0.55002	0.22856	dwpc	1
rephetio-v2.0_perm-3	CbG<rGuAlD	0.74013	0.53225	0.22885	dwpc	1
rephetio-v2.0_perm-4	CbG<rGuAlD	0.75046	0.50361	0.20148	dwpc	1
rephetio-v2.0_perm-5	CbG<rGuAlD	0.73139	0.52839	0.20856	dwpc	1
rephetio-v2.0	CbG<rGuCpD	0.16583	0.55292	0.28085	dwpc	0
rephetio-v2.0_perm-1	CbG<rGuCpD	0.18066	0.54454	0.24247	dwpc	1
rephetio-v2.0_perm-2	CbG<rGuCpD	0.12185	0.52859	0.24767	dwpc	1
rephetio-v2.0_perm-3	CbG<rGuCpD	0.12371	0.5385	0.25973	dwpc	1
rephetio-v2.0_perm-4	CbG<rGuCpD	0.13695	0.53454	0.24436	dwpc	1
rephetio-v2.0_perm-5	CbG<rGuCpD	0.12954	0.51965	0.22688	dwpc	1
rephetio-v2.0	CbG<rGuCtD	0.57775	0.65034	0.35513	dwpc	0
rephetio-v2.0_perm-1	CbG<rGuCtD	0.55656	0.61043	0.28914	dwpc	1
rephetio-v2.0_perm-2	CbG<rGuCtD	0.58252	0.6066	0.28127	dwpc	1
rephetio-v2.0_perm-3	CbG<rGuCtD	0.57166	0.59208	0.27574	dwpc	1
rephetio-v2.0_perm-4	CbG<rGuCtD	0.53987	0.60356	0.27401	dwpc	1
rephetio-v2.0_perm-5	CbG<rGuCtD	0.5396	0.60657	0.28472	dwpc	1
rephetio-v2.0	CbG<rGuD	0.21007	0.55508	0.28366	dwpc	0
rephetio-v2.0_perm-1	CbG<rGuD	0.20344	0.53277	0.22795	dwpc	1
rephetio-v2.0_perm-2	CbG<rGuD	0.17775	0.52658	0.22619	dwpc	1
rephetio-v2.0_perm-3	CbG<rGuD	0.18119	0.54048	0.24186	dwpc	1
rephetio-v2.0_perm-4	CbG<rGuD	0.17934	0.53764	0.24256	dwpc	1
