name	alpha	incl_degrees	seed	auroc	auprc	tjur
rephetio-v2.0	0	1	1	0.987076882592861	0.955054881460059	0.652163610386867
rephetio-v2.0	1	1	1	0.988894346739163	0.961703247681948	0.745672902354239
rephetio-v2.0	0	1	2	0.988716722950741	0.959815038580093	0.669881476098822
rephetio-v2.0	1	1	2	0.988894346739163	0.961703247681948	0.745672902354239
rephetio-v2.0	0	1	3	0.987911056532601	0.957522509583483	0.661060531494581
rephetio-v2.0	1	1	3	0.99105433972193	0.968136320028803	0.765032580514707
rephetio-v2.0	0	1	4	0.987911056532601	0.957522509583483	0.661060531494581
rephetio-v2.0	1	1	4	0.98774615148457	0.958384029792801	0.736426007921701
rephetio-v2.0	0	1	5	0.990916187886493	0.966454843139341	0.695548542977576
rephetio-v2.0	1	1	5	0.98774615148457	0.958384029792801	0.736426007921701
rephetio-v2.0_perm-1	0	1	1	0.985936143151615	0.955985100408181	0.541407887155098
rephetio-v2.0_perm-1	1	1	1	0.985622998991263	0.948212899239178	0.674847414274245
rephetio-v2.0_perm-1	0	1	2	0.985936143151615	0.955985100408181	0.541407887155098
rephetio-v2.0_perm-1	1	1	2	0.985622998991263	0.948212899239178	0.674847414274245
rephetio-v2.0_perm-1	0	1	3	0.983180562256042	0.947800238502327	0.515340862339002
rephetio-v2.0_perm-1	1	1	3	0.984320863120029	0.943131913303775	0.662011105219004
rephetio-v2.0_perm-1	0	1	4	0.985936143151615	0.955985100408181	0.541407887155098
rephetio-v2.0_perm-1	1	1	4	0.986786983027054	0.952739579434239	0.687124178334062
rephetio-v2.0_perm-1	0	1	5	0.987166790930219	0.959598514816046	0.554327214747848
rephetio-v2.0_perm-1	1	1	5	0.982988026840917	0.937930521192791	0.648992486802255
rephetio-v2.0_perm-2	0	1	1	0.99177799219332	0.971942731177347	0.588869657601081
rephetio-v2.0_perm-2	1	1	1	0.98768343493705	0.948541899206265	0.706261415455863
rephetio-v2.0_perm-2	0	1	2	0.99088987325117	0.969225811742156	0.576074583331811
