abbreviation	length	midpoint_index	optimal_join_index	sequential_complexity
CbG<rGbCtD	4	2	4	2.45926151050081
CbG<rGcGaD	4	2	4	3.580183484968502
CbG<rGcGdD	4	2	4	3.3611468225236925
CbG<rGcGuD	4	2	4	3.3672565760242277
CbG<rGdAlD	4	2	3	4.670773878421457
CbG<rGdCpD	4	2	4	2.4333318910130033
CbG<rGdCtD	4	2	4	2.720214235615692
CbG<rGdDrD	4	2	3	3.4900705600745408
CbG<rGeAlD	4	2	3	5.382474693367211
CbG<rGiGaD	4	2	4	3.9662964594226944
CbG<rGiGdD	4	2	4	3.7472597969778847
CbG<rGiGuD	4	2	4	3.75336955047842
CbG<rGr>GaD	4	2	4	3.913263384898957
CbG<rGr>GdD	4	2	4	3.694226722454147
CbG<rGr>GuD	4	2	4	3.700336475954683
CbG<rGuAlD	4	2	3	4.651704990770894
CbG<rGuCpD	4	2	4	2.3821484963792288
CbG<rGuCtD	4	2	4	2.6690308409819177
CbG<rGuDrD	4	2	3	3.496180313575076
CbGaDaGaD	4	2	2	3.451256776522939
CbGaDaGdD	4	2	2	3.2322201140781295
CbGaDaGuD	4	2	2	3.2383298675786647
CbGaDdGaD	4	2	2	3.2322201140781295
CbGaDdGdD	4	2	2	3.0131834516333194
CbGaDdGuD	4	2	2	3.019293205133855
CbGaDlAlD	4	2	3	4.078873340673053
CbGaDpCpD	4	2	4	1.5612494739213227
CbGaDpCtD	4	2	2	1.8481318185240119
CbGaDpSpD	4	2	3	3.9804405487824197
CbGaDrDrD	4	2	3	3.5049510601397436
CbGaDtCpD	4	2	2	1.8481318185240119
CbGaDtCtD	4	2	2	2.135014163126701
CbGaDuGaD	4	2	2	3.2383298675786647
CbGaDuGdD	4	2	2	3.019293205133855
CbGaDuGuD	4	2	2	3.0254029586343902
CbGbCbGaD	4	2	4	2.3215022494989013
CbGbCbGdD	4	2	4	2.1024655870540916
CbGbCbGuD	4	2	4	2.1085753405546273
CbGbCdGaD	4	2	4	2.5824549746137837
CbGbCdGdD	4	2	4	2.3634183121689736
CbGbCdGuD	4	2	4	2.369528065669509
CbGbCpDrD	4	2	4	1.9682230035185144
CbGbCrCpD	4	2	4	1.9912289685008586
CbGbCrCtD	4	2	4	2.2781113131035475
CbGbCtDrD	4	2	3	2.2551053481212033
CbGbCuGaD	4	2	4	2.531271579980009
CbGbCuGdD	4	2	4	2.312234917535199
CbGbCuGuD	4	2	4	2.3183446710357347
CbGcG<rGaD	4	2	4	3.5801834849685026
CbGcG<rGdD	4	2	4	3.3611468225236925
CbGcG<rGuD	4	2	4	3.367256576024228
CbGcGaDrD	4	2	3	3.3760273225888957
CbGcGbCpD	4	2	4	1.8392992659676666
CbGcGbCtD	4	2	4	2.1261816105703555
CbGcGcGaD	4	2	4	3.2471035850380474
CbGcGcGdD	4	2	4	3.0280669225932377
CbGcGcGuD	4	2	4	3.034176676093773
CbGcGdAlD	4	2	3	4.337693978491002
CbGcGdCpD	4	2	4	2.1002519910825486
CbGcGdCtD	4	2	4	2.3871343356852375
CbGcGdDrD	4	2	3	3.1569906601440856
CbGcGeAlD	4	2	3	5.049394793436756
CbGcGiGaD	4	2	4	3.6332165594922397
CbGcGiGdD	4	2	4	3.4141798970474295
CbGcGiGuD	4	2	4	3.420289650547965
CbGcGr>GaD	4	2	4	3.5801834849685026
CbGcGr>GdD	4	2	4	3.3611468225236925
CbGcGr>GuD	4	2	4	3.367256576024228
CbGcGuAlD	4	2	3	4.31862509084044
CbGcGuCpD	4	2	4	2.049068596448774
CbGcGuCtD	4	2	4	2.335950941051463
CbGcGuDrD	4	2	3	3.1631004136446212
CbGdAdGaD	4	2	2	4.800667807793842
CbGdAdGdD	4	2	2	4.581631145349033
CbGdAdGuD	4	2	2	4.587740898849568
CbGdAeGaD	4	2	2	5.512368622739596
CbGdAeGdD	4	2	2	5.293331960294787
CbGdAeGuD	4	2	2	5.299441713795322
CbGdAlDrD	4	2	2	4.46661771604185
CbGdAuGaD	4	2	2	4.7815989201432805
CbGdAuGdD	4	2	2	4.56256225769847
CbGdAuGuD	4	2	2	4.568672011199006
CbGdCbGaD	4	2	4	2.5824549746137837
CbGdCbGdD	4	2	4	2.3634183121689736
CbGdCbGuD	4	2	4	2.369528065669509
CbGdCdGaD	4	2	4	2.8434076997286652
CbGdCdGdD	4	2	4	2.6243710372838556
CbGdCdGuD	4	2	4	2.630480790784391
CbGdCpDrD	4	2	3	2.2291757286333964
CbGdCrCpD	4	2	4	2.2521816936157406
CbGdCrCtD	4	2	4	2.5390640382184295
CbGdCtDrD	4	2	3	2.5160580732360853
CbGdCuGaD	4	2	4	2.792224305094891
CbGdCuGdD	4	2	4	2.573187642650081
CbGdCuGuD	4	2	4	2.5792973961506167
CbGdDaGaD	4	2	2	3.2322201140781295
CbGdDaGdD	4	2	2	3.0131834516333194
CbGdDaGuD	4	2	2	3.019293205133855
CbGdDdGaD	4	2	2	3.0131834516333194
CbGdDdGdD	4	2	2	2.7941467891885097
CbGdDdGuD	4	2	2	2.800256542689045
CbGdDlAlD	4	2	3	3.859836678228243
CbGdDpCpD	4	2	4	1.342212811476513
CbGdDpCtD	4	2	4	1.629095156079202
CbGdDpSpD	4	2	3	3.7614038863376096
CbGdDrDrD	4	2	3	3.285914397694934
CbGdDtCpD	4	2	4	1.629095156079202
CbGdDtCtD	4	2	2	1.915977500681891
CbGdDuGaD	4	2	2	3.019293205133855
CbGdDuGdD	4	2	2	2.800256542689045
CbGdDuGuD	4	2	2	2.80636629618958
CbGeAdGaD	4	2	2	5.512368622739596
CbGeAdGdD	4	2	2	5.293331960294787
CbGeAdGuD	4	2	2	5.299441713795322
CbGeAeGaD	4	2	2	6.22406943768535
CbGeAeGdD	4	2	2	6.005032775240541
CbGeAeGuD	4	2	2	6.011142528741076
CbGeAlDrD	4	2	2	5.178318530987604
CbGeAuGaD	4	2	2	5.4932997350890345
CbGeAuGdD	4	2	2	5.274263072644224
CbGeAuGuD	4	2	2	5.28037282614476
CbGiG<rGaD	4	2	4	3.9662964594226944
CbGiG<rGdD	4	2	4	3.7472597969778842
CbGiG<rGuD	4	2	4	3.75336955047842
CbGiGaDrD	4	2	3	3.7621402970430875
CbGiGbCpD	4	2	4	2.2254122404218584
CbGiGbCtD	4	2	4	2.5122945850245473
CbGiGcGaD	4	2	4	3.6332165594922397
CbGiGcGdD	4	2	4	3.4141798970474295
CbGiGcGuD	4	2	4	3.420289650547965
CbGiGdAlD	4	2	3	4.723806952945194
CbGiGdCpD	4	2	4	2.4863649655367404
CbGiGdCtD	4	2	4	2.7732473101394293
CbGiGdDrD	4	2	3	3.543103634598278
CbGiGeAlD	4	2	3	5.435507767890948
CbGiGiGaD	4	2	4	4.019329533946432
CbGiGiGdD	4	2	4	3.8002928715016218
CbGiGiGuD	4	2	4	3.806402625002157
CbGiGr>GaD	4	2	4	3.9662964594226944
CbGiGr>GdD	4	2	4	3.7472597969778842
CbGiGr>GuD	4	2	4	3.75336955047842
CbGiGuAlD	4	2	3	4.704738065294632
CbGiGuCpD	4	2	4	2.435181570902966
CbGiGuCtD	4	2	4	2.7220639155056547
CbGiGuDrD	4	2	3	3.549213388098813
CbGpBPpGaD	4	2	2	4.825078147365367
CbGpBPpGdD	4	2	2	4.606041484920558
CbGpBPpGuD	4	2	2	4.612151238421093
CbGpCCpGaD	4	2	2	3.975679334887415
CbGpCCpGdD	4	2	2	3.7566426724426054
CbGpCCpGuD	4	2	2	3.7627524259431406
CbGpMFpGaD	4	2	2	3.901186025019776
CbGpMFpGdD	4	2	2	3.682149362574966
CbGpMFpGuD	4	2	2	3.6882591160755016
CbGpPWpGaD	4	2	2	3.977500494578641
CbGpPWpGdD	4	2	2	3.7584638321338315
CbGpPWpGuD	4	2	2	3.7645735856343667
CbGr>G<rGaD	4	2	4	3.913263384898957
CbGr>G<rGdD	4	2	4	3.694226722454147
CbGr>G<rGuD	4	2	4	3.700336475954683
CbGr>GaDrD	4	2	3	3.7091072225193504
CbGr>GbCpD	4	2	4	2.1723791658981213
CbGr>GbCtD	4	2	4	2.45926151050081
CbGr>GcGaD	4	2	4	3.580183484968502
CbGr>GcGdD	4	2	4	3.3611468225236925
CbGr>GcGuD	4	2	4	3.3672565760242277
CbGr>GdAlD	4	2	3	4.670773878421457
CbGr>GdCpD	4	2	4	2.4333318910130033
CbGr>GdCtD	4	2	4	2.720214235615692
CbGr>GdDrD	4	2	3	3.4900705600745408
CbGr>GeAlD	4	2	3	5.382474693367211
CbGr>GiGaD	4	2	4	3.9662964594226944
CbGr>GiGdD	4	2	4	3.7472597969778847
CbGr>GiGuD	4	2	4	3.75336955047842
CbGr>Gr>GaD	4	2	4	3.913263384898957
CbGr>Gr>GdD	4	2	4	3.694226722454147
CbGr>Gr>GuD	4	2	4	3.700336475954683
CbGr>GuAlD	4	2	3	4.651704990770894
CbGr>GuCpD	4	2	4	2.3821484963792288
CbGr>GuCtD	4	2	4	2.6690308409819177
CbGr>GuDrD	4	2	3	3.496180313575076
CbGuAdGaD	4	2	2	4.7815989201432805
CbGuAdGdD	4	2	2	4.56256225769847
CbGuAdGuD	4	2	2	4.568672011199006
CbGuAeGaD	4	2	2	5.4932997350890345
CbGuAeGdD	4	2	2	5.274263072644224
CbGuAeGuD	4	2	2	5.28037282614476
CbGuAlDrD	4	2	2	4.447548828391287
CbGuAuGaD	4	2	2	4.762530032492718
CbGuAuGdD	4	2	2	4.5434933700479085
CbGuAuGuD	4	2	2	4.549603123548444
CbGuCbGaD	4	2	4	2.531271579980009
CbGuCbGdD	4	2	4	2.312234917535199
CbGuCbGuD	4	2	4	2.3183446710357347
CbGuCdGaD	4	2	4	2.792224305094891
CbGuCdGdD	4	2	4	2.573187642650081
CbGuCdGuD	4	2	4	2.5792973961506167
CbGuCpDrD	4	2	3	2.177992333999622
CbGuCrCpD	4	2	4	2.200998298981966
CbGuCrCtD	4	2	4	2.487880643584655
CbGuCtDrD	4	2	3	2.464874678602311
CbGuCuGaD	4	2	4	2.7410409104611166
CbGuCuGdD	4	2	4	2.5220042480163065
CbGuCuGuD	4	2	4	2.528114001516842
CbGuDaGaD	4	2	2	3.2383298675786647
CbGuDaGdD	4	2	2	3.019293205133855
CbGuDaGuD	4	2	2	3.0254029586343902
CbGuDdGaD	4	2	2	3.019293205133855
CbGuDdGdD	4	2	2	2.800256542689045
CbGuDdGuD	4	2	2	2.80636629618958
CbGuDlAlD	4	2	3	3.8659464317287786
CbGuDpCpD	4	2	4	1.3483225649770485
CbGuDpCtD	4	2	4	1.6352049095797374
CbGuDpSpD	4	2	3	3.7675136398381452
CbGuDrDrD	4	2	3	3.292024151195469
CbGuDtCpD	4	2	4	1.6352049095797374
CbGuDtCtD	4	2	2	1.9220872541824265
CbGuDuGaD	4	2	2	3.0254029586343902
CbGuDuGdD	4	2	2	2.8063662961895806
CbGuDuGuD	4	2	2	2.8124760496901158
CcSEcCbGaD	4	2	2	5.0430627332908795
CcSEcCbGdD	4	2	2	4.82402607084607
CcSEcCbGuD	4	2	2	4.8301358243466055
CcSEcCdGaD	4	2	2	5.304015458405762
CcSEcCdGdD	4	2	2	5.084978795960952
CcSEcCdGuD	4	2	2	5.091088549461487
CcSEcCpDrD	4	2	3	4.689783487310493
CcSEcCrCpD	4	2	2	4.712789452292837
CcSEcCrCtD	4	2	2	4.999671796895526
CcSEcCtDrD	4	2	3	4.976665831913182
CcSEcCuGaD	4	2	2	5.252832063771987
CcSEcCuGdD	4	2	2	5.033795401327177
CcSEcCuGuD	4	2	2	5.0399051548277125
CdG<rG<rGaD	4	2	4	4.174216110013839
CdG<rG<rGdD	4	2	4	3.955179447569029
CdG<rG<rGuD	4	2	4	3.9612892010695644
CdG<rGaDrD	4	2	3	3.9700599476342324
CdG<rGbCpD	4	2	4	2.4333318910130033
CdG<rGbCtD	4	2	4	2.720214235615692
CdG<rGcGaD	4	2	4	3.841136210083384
CdG<rGcGdD	4	2	4	3.6220995476385744
CdG<rGcGuD	4	2	4	3.6282093011391097
CdG<rGdAlD	4	2	3	4.9317266035363385
CdG<rGdCpD	4	2	4	2.694284616127885
CdG<rGdCtD	4	2	4	2.981166960730574
CdG<rGdDrD	4	2	3	3.7510232851894223
CdG<rGeAlD	4	2	3	5.6434274184820925
CdG<rGiGaD	4	2	4	4.227249184537576
CdG<rGiGdD	4	2	4	4.008212522092767
CdG<rGiGuD	4	2	4	4.014322275593302
CdG<rGr>GaD	4	2	4	4.174216110013839
CdG<rGr>GdD	4	2	4	3.955179447569029
CdG<rGr>GuD	4	2	4	3.9612892010695644
CdG<rGuAlD	4	2	3	4.912657715885777
CdG<rGuCpD	4	2	4	2.6431012214941108
CdG<rGuCtD	4	2	4	2.9299835660967997
CdG<rGuDrD	4	2	3	3.757133038689958
CdGaDaGaD	4	2	2	3.712209501637821
CdGaDaGdD	4	2	2	3.493172839193011
CdGaDaGuD	4	2	2	3.4992825926935467
CdGaDdGaD	4	2	2	3.493172839193011
CdGaDdGdD	4	2	2	3.2741361767482013
CdGaDdGuD	4	2	2	3.2802459302487366
CdGaDlAlD	4	2	3	4.339826065787935
CdGaDpCpD	4	2	4	1.8222021990362047
CdGaDpCtD	4	2	2	2.1090845436388936
CdGaDpSpD	4	2	2	4.241393273897302
CdGaDrDrD	4	2	2	3.7659037852546255
CdGaDtCpD	4	2	2	2.1090845436388936
CdGaDtCtD	4	2	2	2.395966888241583
CdGaDuGaD	4	2	2	3.4992825926935467
CdGaDuGdD	4	2	2	3.2802459302487366
CdGaDuGuD	4	2	2	3.2863556837492722
CdGbCbGaD	4	2	4	2.5824549746137837
CdGbCbGdD	4	2	4	2.3634183121689736
CdGbCbGuD	4	2	4	2.369528065669509
CdGbCdGaD	4	2	4	2.8434076997286652
CdGbCdGdD	4	2	4	2.6243710372838556
CdGbCdGuD	4	2	4	2.630480790784391
CdGbCpDrD	4	2	3	2.2291757286333964
CdGbCrCpD	4	2	4	2.2521816936157406
CdGbCrCtD	4	2	4	2.5390640382184295
CdGbCtDrD	4	2	3	2.5160580732360853
CdGbCuGaD	4	2	4	2.792224305094891
CdGbCuGdD	4	2	4	2.573187642650081
CdGbCuGuD	4	2	4	2.5792973961506167
CdGcG<rGaD	4	2	4	3.841136210083384
