degree_transformer	dwpc_scaler	dwpc_transformer	alpha	auroc	auroc_lower	auroc_upper	auprc	auprc_lower	auprc_upper
asinh	mean	log1p	1	0.995140476294901	0.994724989095347	0.995555963494455	0.980582303991996	0.979105560911449	0.982059047072543
asinh	mean	asinh	1	0.995044427875971	0.994562403129873	0.99552645262207	0.980365769968562	0.978691536926003	0.982040003011122
log1p	mean	log1p	1	0.994732599447394	0.994196574213717	0.99526862468107	0.979147046366719	0.977250762215777	0.981043330517662
log1p	mean	asinh	1	0.994682777071182	0.994254614061185	0.995110940081179	0.979148077249528	0.977671389081896	0.98062476541716
asinh	sd	log1p	1	0.994612692425773	0.994172175282791	0.995053209568754	0.978807633091872	0.977273646294792	0.980341619888953
log1p	sd	log1p	1	0.994403666505857	0.993955773905724	0.994851559105989	0.97810779056872	0.976566908249964	0.979648672887476
asinh	sd	asinh	1	0.993989035568618	0.993395741344215	0.994582329793021	0.976873068515912	0.974870937734421	0.978875199297403
log1p	sd	asinh	1	0.993784658567609	0.993159972097285	0.994409345037933	0.97619514215441	0.97412272014981	0.97826756415901
asinh	mean	log1p	0	0.992104644533126	0.991536733845286	0.992672555220967	0.970633031560688	0.96867090374336	0.972595159378016
asinh	mean	asinh	0	0.991942897241341	0.991364540512741	0.992521253969941	0.970018947657158	0.968053019165926	0.971984876148391
log1p	mean	log1p	0	0.991900267532117	0.991057237576818	0.992743297487417	0.970053961273292	0.967213638174477	0.972894284372107
log1p	mean	asinh	0	0.991738257093978	0.990889649807367	0.99258686438059	0.969433235901353	0.966579548298049	0.972286923504656
asinh	sd	log1p	0	0.991256699267566	0.990455739859705	0.992057658675427	0.968090095716835	0.965471277187135	0.970708914246536
log1p	sd	log1p	0	0.991154861628867	0.990350366976311	0.991959356281423	0.967868885692749	0.965253917015798	0.9704838543697
asinh	sd	asinh	0	0.990889346958457	0.990080471498044	0.99169822241887	0.966952022041758	0.964323916794353	0.969580127289164
log1p	sd	asinh	0	0.990801192930125	0.989988735345486	0.991613650514764	0.966782887979948	0.964158187159114	0.969407588800781
identity	mean	log1p	0	0.990554273935342	0.989676924740007	0.991431623130677	0.965904812171911	0.963044065059741	0.96876555928408
identity	mean	asinh	0	0.990389632033674	0.989503457521807	0.991275806545541	0.965247731611635	0.96234569084707	0.9681497723762
identity	mean	log1p	1	0.990217358887765	0.989504489397548	0.990930228377981	0.966325178104111	0.96426645020341	0.968383906004812
identity	mean	asinh	1	0.990192535415109	0.989431481868882	0.990953588961337	0.966317230741751	0.964186082650758	0.968448378832744
identity	sd	log1p	0	0.989854216920302	0.988917923717148	0.990790510123455	0.963988614083317	0.960988323255143	0.966988904911492
identity	sd	asinh	0	0.989369852199458	0.988541656968705	0.99019804743021	0.962485375458219	0.959846762295835	0.965123988620602
identity	sd	log1p	1	0.987940353493261	0.986893331339883	0.988987375646639	0.960727849512229	0.957871478178869	0.963584220845589
asinh	none	log1p	0	0.987698872856447	0.986395189241042	0.989002556471852	0.958573521470552	0.954701073814133	0.962445969126971
log1p	none	log1p	0	0.98762729704837	0.986322869379252	0.988931724717488	0.958434016230036	0.954575159141389	0.962292873318682
asinh	none	asinh	0	0.987509407482122	0.98615389581502	0.988864919149224	0.958176730017948	0.954137796517872	0.962215663518023
asinh	none	identity	0	0.987497302749873	0.986144615332777	0.98884999016697	0.958161483712423	0.954144827459535	0.962178139965312
log1p	none	asinh	0	0.987443620893816	0.986071220131604	0.988816021656028	0.958062556555564	0.954011520828194	0.962113592282934
log1p	none	identity	0	0.987433445901491	0.986063930300925	0.988802961502056	0.95805640242816	0.954024713992359	0.962088090863961
identity	sd	asinh	1	0.98717442217446	0.986061278586959	0.988287565761962	0.959211444258401	0.9562462927134	0.962176595803403
identity	none	log1p	0	0.986405069953073	0.984891426296465	0.987918713609681	0.954911456056658	0.950471773207516	0.959351138905799
identity	none	asinh	0	0.986356300162274	0.984847542011137	0.987865058313412	0.954935325067766	0.950522210814969	0.959348439320563
identity	none	identity	0	0.986339897372923	0.98483518423114	0.987844610514706	0.954912639438969	0.950506553723031	0.959318725154907
log1p	none	log1p	1	0.985270821455193	0.983996513484656	0.986545129425729	0.954686795261806	0.951475423663667	0.957898166859946
log1p	none	asinh	1	0.985137932546811	0.983863586876861	0.986412278216761	0.954581782191023	0.951359723669388	0.957803840712657
log1p	none	identity	1	0.985131266172529	0.983861802991352	0.986400729353707	0.954589590199108	0.95138485459542	0.957794325802796
asinh	none	log1p	1	0.984773562563035	0.983163138690204	0.986383986435866	0.953430397680999	0.949421755862005	0.957439039499994
asinh	none	asinh	1	0.983974562519173	0.982736115389773	0.985213009648573	0.951678260870422	0.948671081663205	0.954685440077639
asinh	none	identity	1	0.983965527827712	0.982724694690027	0.985206360965397	0.951659287521391	0.948633288905133	0.954685286137649
identity	none	log1p	1	0.98127038287793	0.979848919208028	0.982691846547832	0.947528404727439	0.944176283835173	0.950880525619706
identity	none	asinh	1	0.98125073461689	0.979834249468636	0.982667219765145	0.947733437907844	0.944399252389279	0.951067623426409
identity	none	identity	1	0.981246348844337	0.979834241425168	0.982658456263506	0.947729525009774	0.944409007686148	0.9510500423334
