metapath	pct_affected	mean_PC_dupl	mean_PC_nodupl	mean_pct_PC_increase	mean_pct_PC_increase_nonind	mean_pct_PC_increase_ind	auroc_dupl	auroc_nodupl	auroc_diff	indication_metaedge
CiDaGeAlD	51.95783132530121	4463.53313253012	3399.9126506024095	31.283759061846922	0.0	36.067673488898464	0.9291448104073673	0.7720342912208293	0.15711051918653796	True
CiDlAeGaD	51.95783132530121	4213.5376506024095	3149.9171686746986	33.76661750046017	0.0	36.81698376024889	0.9494631769379722	0.7948572259747817	0.15460595096319052	True
CiDsDpSpD	51.80722891566265	137.51807228915663	105.52710843373494	30.315398886827467	1.4210854715202004e-14	32.123035976227584	0.9713179210720096	0.8007072791570831	0.1706106419149266	True
CiDsDlAlD	51.80722891566265	117.81626506024097	83.22439759036145	41.56457537865765	0.0	44.1295702126842	0.978227074791589	0.8057255065955146	0.17250156819607443	True
CiDpSpDsD	51.80722891566265	146.23644578313252	114.24548192771084	28.001950988017256	0.0	30.688105866886247	0.9548586805334596	0.7916344694042674	0.16322421112919216	True
CiDlAlDsD	51.80722891566265	125.0512048192771	90.45933734939759	38.24023974028137	0.0	42.41735918744229	0.9643133119391996	0.7946526786607151	0.16966063327848446	True
CiDaGiGaD	51.6566265060241	1072.230421686747	716.5286144578313	49.64237297041669	0.0	53.52548050011444	0.967699706360967	0.8046436785788962	0.16305602778207084	True
CiDsDaGaD	51.506024096385545	246.15662650602408	182.26656626506025	35.05308820491632	0.0	36.854313265572074	0.9763134210311002	0.815321048373167	0.1609923726579332	True
CiDaGaDsD	51.506024096385545	267.0225903614458	203.13253012048193	31.452402135231324	0.0	34.57513569903341	0.9636087600796372	0.7995981781652561	0.16401058191438111	True
CiDaGbCiD	50.45180722891566	92.1039156626506	55.84186746987952	64.93702634914644	0.0	69.41705587268638	0.9653678669806088	0.8250802280020727	0.14028763897853613	True
CiDsDiCiD	50.45180722891566	42.368975903614455	29.343373493975903	44.39026893861629	0.0	45.285093460390584	0.9729088446258602	0.8247711342830389	0.1481377103428213	True
CiDiCsCiD	50.30120481927711	70.2183734939759	36.04066265060241	94.83097237892275	0.0	97.65900679920819	0.9749179537995798	0.8376439785816234	0.13727397521795637	True
CiDiCiDsD	49.096385542168676	42.51204819277108	32.94427710843374	29.042285714285697	0.0	30.661196911196896	0.9624451131373921	0.7995072682478932	0.16293784488949892	True
CiDiCbGaD	46.83734939759036	82.61295180722891	49.82680722891566	65.80021157624302	0.0	71.87902400369796	0.9487449885908052	0.8155710506459147	0.13317393794489052	True
CiDaGku>GaD	46.3855421686747	272.9759036144578	192.15210843373495	42.0624034987342	0.0	46.117556071152364	0.8992809025536596	0.785543504940954	0.11373739761270552	True
CiDaG<kuGaD	46.3855421686747	266.0436746987952	185.21987951807228	43.6366740929862	0.0	47.51815123074195	0.9048354985045319	0.7867162428749351	0.1181192556295968	True
CiDlAuGaD	46.08433734939759	465.27861445783134	326.605421686747	42.458937777244955	0.0	46.21674120251163	0.9307175519777453	0.7762888753534124	0.1544286766243329	True
CiDlAdGaD	46.08433734939759	397.1957831325301	290.44126506024094	36.755974757976304	0.0	40.909195840114506	0.9018354712315566	0.7593432667569706	0.142492204474586	True
CiDaGdAlD	46.08433734939759	411.3629518072289	304.60843373493975	35.046474834371594	-1.4210854715202004e-14	41.54748786720748	0.8388121710197365	0.7138383076209782	0.12497386339875827	True
CiDaGuAlD	46.08433734939759	484.7921686746988	346.11897590361446	40.06518059550177	0.0	45.981103997922645	0.866366966972427	0.7292111746470422	0.13715579232538477	True
