feature	coef	zcoef	seed	feature_set
prior_logit	0.918226949595565	3.52028443590351	1	all_features
CbG	-0.0125661567149255	-0.0286624318203511	1	all_features
CrC	-0.196752703598201	-0.638646728530702	1	all_features
CtD	2.45309642659313	4.21526923511443	1	all_features
DaG	0.43177831756323	1.12020912161738	1	all_features
DpS	0.0852376904125334	0.179198469047898	1	all_features
CbG<rGaD	0.175010339474552	0.156831684205961	1	all_features
CbG<rGdAlD	-0.0290256752864079	-0.0655063631188621	1	all_features
CbGaD	0.51081788484928	1.07010818695161	1	all_features
CbGaDpCpD	-0.0611169765710258	-0.0545217843162972	1	all_features
CbGaDuGaD	0.172019675334347	0.297873753890986	1	all_features
CbGbCpDrD	0.103561361633982	0.106124036628412	1	all_features
CbGbCtD	0.530195283923229	0.986268259936855	1	all_features
CbGcGbCpD	0.0230069484625918	0.035190423182807	1	all_features
CbGcGdAlD	-0.0050998380616992	-0.010612803250159	1	all_features
CbGcGdCtD	0.0135691907404241	0.0235714406490194	1	all_features
CbGcGeAlD	-0.0393638897946238	-0.0764296927381652	1	all_features
CbGdAuGdD	0.0131129111710004	0.0164508774091898	1	all_features
CbGdCdGaD	-0.0234425513205761	-0.0470373361554488	1	all_features
CbGdCdGdD	0.0419174888866767	0.0600451581672863	1	all_features
CbGdCrCpD	0.0105289339020553	0.00584100935199788	1	all_features
CbGdDrD	0.0165263297718455	0.0351688845293446	1	all_features
CbGdDuGdD	0.16574882892201	0.212180862743666	1	all_features
CbGeAlDrD	0.0913134946160716	0.120360226026624	1	all_features
CbGeAuGaD	0.0144839571822999	0.0166556713616135	1	all_features
CbGiGcGdD	0.0331801265693185	0.0578489971735499	1	all_features
CbGiGeAlD	-0.034693525097384	-0.0446297297402057	1	all_features
CbGiGr>GdD	0.0220016273223442	0.0399449018698156	1	all_features
CbGr>GuAlD	0.0154115282203492	0.0317818663858773	1	all_features
CbGuAlDrD	0.0237179506453039	0.038804319737904	1	all_features
CbGuCrCpD	0.162999706879017	0.111013360771331	1	all_features
CbGuDdGdD	0.0859422584357998	0.109593426477253	1	all_features
CbGuDtCpD	0.0641080043141594	0.116685382641719	1	all_features
CbGuDuGuD	0.00999238692956184	0.013254258460219	1	all_features
CcSEcCbGdD	0.0969860866772363	0.0986865089936345	1	all_features
CcSEcCdGdD	0.0839783695231173	0.175011064005851	1	all_features
CcSEcCpD	0.0732890177546007	0.143860836795211	1	all_features
CcSEcCtD	0.256933263904519	0.372593172864079	1	all_features
CdG<rGcGaD	-0.018179333372444	-0.0258993483818033	1	all_features
CdG<rGuAlD	0.0419540966715652	0.0803251650677772	1	all_features
CdGaDpCtD	-0.142046134439589	-0.186899554504559	1	all_features
CdGbCbGaD	0.0297473459071605	0.0431367224069822	1	all_features
CdGbCbGdD	0.0328489274544073	0.0380581858034844	1	all_features
CdGbCpDrD	-0.0105468859163795	-0.0162991254231633	1	all_features
CdGbCrCpD	-0.152865060520624	-0.222400049308209	1	all_features
CdGcGaDrD	-0.141641985545045	-0.182542330513638	1	all_features
CdGcGbCtD	-0.0219336086323202	-0.0296750915751084	1	all_features
CdGcGdCtD	-0.02548498853417	-0.0365720109310659	1	all_features
CdGcGdDrD	0.0862719249153635	0.0949261281353241	1	all_features
CdGcGuCtD	-0.132488772069728	-0.174083575149386	1	all_features
CdGdCrCtD	-0.109690435841154	-0.218641398636043	1	all_features
CdGdCuGdD	0.00297661006436136	0.00399334101700959	1	all_features
CdGdD	0.160567478021149	0.330710217888592	1	all_features
CdGdDpCtD	-0.157248340530245	-0.1158879109513	1	all_features
CdGdDuGuD	0.0267821198445887	0.0243461484589911	1	all_features
CdGr>GuCpD	-0.0413263810321777	-0.045017967271953	1	all_features
CdGuAlD	0.0257179457096278	0.0513260037345238	1	all_features
CdGuDuGaD	0.0498335564164709	0.0597203164008076	1	all_features
CdGuDuGdD	0.0613820709839327	0.0866338772350317	1	all_features
CiPCiCdGdD	0.0274587073638321	0.058433480087057	1	all_features
CiPCiCtD	0.515640795887302	1.12442965870614	1	all_features
CpDaGdCtD	-0.211461661562527	-0.256951094247819	1	all_features
CpDaGuCtD	-0.0180588342723393	-0.0186076735426231	1	all_features
CpDdGbCtD	-0.0670699620621056	-0.1242572201221	1	all_features
CpDpCtD	0.102163410230044	0.182672989625792	1	all_features
CpDpCtDrD	-0.0148006108700374	-0.0267100996975595	1	all_features
CpDpCuGaD	-0.0900829597973408	-0.0767784104733018	1	all_features
CpDpCuGdD	-0.050782568901251	-0.091107661593199	1	all_features
CpDrDpCpD	0.0250153756912211	0.0384593367719671	1	all_features
CpDrDrD	0.193346695804791	0.339318855732216	1	all_features
CpDrDtCpD	0.107192701554852	0.12802596070109	1	all_features
CpDtCbGuD	-0.0789147564200456	-0.127256928224585	1	all_features
CrCbGaDrD	-0.0550278063795692	-0.0699854285312128	1	all_features
CrCbGcGdD	-0.177219905140765	-0.230844206851989	1	all_features
CrCbGdCpD	0.0407646716724763	0.0678167296433243	1	all_features
CrCcSEcCtD	-0.432761181440946	-0.698338930353608	1	all_features
CrCiPCiCtD	0.10328837119769	0.22227393397107	1	all_features
CrCpDtCtD	-0.054830634636983	-0.114878596336141	1	all_features
CrCrCdGaD	-0.129186067077674	-0.151922891831341	1	all_features
CrCrCtD	0.192830463303538	0.418450092231192	1	all_features
CrCtD	0.47092134398688	1.01550668553014	1	all_features
CrCuGbCpD	-0.348656945585258	-0.295420406679116	1	all_features
CrCuGdAlD	0.0725069615264808	0.114814892474559	1	all_features
CtDaGaD	0.156031054479556	0.259791931767886	1	all_features
CtDaGaDrD	-0.268259577521807	-0.416674102906248	1	all_features
CtDaGbCtD	-0.090431938279084	-0.096340813253789	1	all_features
CtDaGcGaD	-0.116774832337075	-0.138351029526023	1	all_features
CtDaGcGdD	0.0215550236590019	0.0213571668059868	1	all_features
CtDaGcGuD	-0.115670838956066	-0.138236606320334	1	all_features
CtDaGeAlD	-1.52809409018377	-2.03037588224545	1	all_features
CtDaGiGdD	-0.226192371453004	-0.306800814676172	1	all_features
CtDaGr>GdD	-0.0591842973359455	-0.0627102440278635	1	all_features
CtDaGuCtD	-0.397133101978122	-0.692308518747773	1	all_features
CtDaGuDrD	-0.0505215437859005	-0.0887585797716814	1	all_features
CtDdGaDrD	-0.246491910340101	-0.482350111997984	1	all_features
CtDdGcGaD	-0.0434256024850026	-0.0614257716010219	1	all_features
CtDdGdCpD	0.0225616640694286	0.0469076305185882	1	all_features
CtDdGr>GaD	0.0184638194806811	0.0229596053981466	1	all_features
CtDlAeGaD	-1.85049396807393	-2.73114309674954	1	all_features
