compound_treats	disease_treats	prior_perm	prior_perm_stderr	n_treatments	n_possible
10	6	0.0895074	0.000114183	1	8
10	7	0.103724	0.000108097	2	10
10	8	0.117618	0.000149211	1	6
10	9	0.131367	0.000119124	1	10
10	10	0.145047	0.000162544	1	6
10	11	0.158053	0.000127794	1	10
10	12	0.171757	0.000307029	0	2
10	13	0.184088	0.000220887	0	4
10	14	0.196959	0.000323576	1	2
10	15	0.209281	0.000187184	1	6
10	16	0.221297	0.000190518	1	6
10	21	0.279187	0.00020526	1	6
10	22	0.289675	0.000369365	1	2
10	25	0.321529	0.00038026	1	2
10	28	0.351102	0.000388882	1	2
10	29	0.360048	0.000391748	1	2
10	37	0.4297	0.000404059	1	2
10	51	0.527303	0.000408055	1	2
10	68	0.6162	0.00039719	2	2
11	1	0.0175088	2.27193e-05	0	42
11	2	0.0346847	5.33562e-05	0	15
11	3	0.0514927	7.1914e-05	0	12
11	4	0.0681262	6.12195e-05	0	21
11	5	0.0844675	0.000128662	1	6
11	6	0.100384	9.72012e-05	1	12
11	7	0.116145	9.19424e-05	2	15
11	8	0.131639	0.000126684	1	9
11	9	0.146539	0.000101033	1	15
11	10	0.161528	0.000137489	2	9
11	11	0.175987	0.000108142	3	15
11	12	0.190278	0.000258421	1	3
11	13	0.204129	0.000185802	2	6
11	14	0.21764	0.000272395	1	3
11	15	0.230964	0.000156964	2	9
11	16	0.244077	0.000159715	4	9
11	21	0.305318	0.000170982	3	9
11	22	0.316589	0.00030759	1	3
11	25	0.349165	0.00031512	0	3
11	28	0.379714	0.000321004	3	3
11	29	0.389946	0.00032311	1	3
11	37	0.460286	0.000330414	1	3
11	51	0.558128	0.000330023	1	3
11	68	0.644194	0.000318679	2	3
12	1	0.0196511	4.23747e-05	0	14
12	2	0.0389401	9.93839e-05	1	5
12	3	0.0575838	0.000133757	0	4
12	4	0.0761282	0.000113291	0	7
12	5	0.094083	0.000237884	0	2
12	6	0.111792	0.000179328	0	4
12	7	0.129043	0.000169041	2	5
12	8	0.14546	0.000232448	0	3
12	9	0.162014	0.000184875	2	5
12	10	0.177891	0.000251473	0	3
12	11	0.193982	0.000197527	1	5
12	12	0.209168	0.000471215	0	1
12	13	0.224045	0.000338088	0	2
12	14	0.237497	0.000493036	0	1
12	15	0.252335	0.00028433	1	3
12	16	0.26639	0.000288827	1	3
12	21	0.330719	0.000306036	1	3
12	22	0.342276	0.000549717	0	1
12	25	0.377183	0.000561547	0	1
12	28	0.408372	0.000569484	0	1
12	29	0.417669	0.000571387	1	1
12	37	0.489973	0.000579178	0	1
12	51	0.587864	0.00057028	1	1
12	68	0.669943	0.000544807	1	1
13	1	0.0219019	4.45824e-05	1	14
13	2	0.0431284	0.000104324	0	5
13	3	0.0639095	0.000140402	0	4
13	4	0.0843685	0.000118705	0	7
13	5	0.103813	0.000248441	1	2
13	6	0.122829	0.000186869	0	4
13	7	0.142092	0.000176308	0	5
13	8	0.159955	0.000241709	3	3
13	9	0.177905	0.000191485	0	5
13	10	0.195169	0.000260533	0	3
13	11	0.211925	0.000203694	1	5
13	12	0.228609	0.000486534	0	1
13	13	0.242697	0.000347625	2	2
13	14	0.260344	0.000508415	1	1
13	15	0.273905	0.000291401	0	3
13	16	0.289102	0.000296497	1	3
13	21	0.356216	0.000312058	0	3
13	22	0.367743	0.000558661	0	1
13	25	0.403744	0.000568459	1	1
13	28	0.435502	0.000574455	0	1
13	29	0.445612	0.000575857	0	1
13	37	0.517246	0.00057895	0	1
13	51	0.61196	0.000564585	1	1
13	68	0.69376	0.000534029	1	1
14	1	0.0242124	4.6842e-05	0	14
14	2	0.0479482	0.00010963	1	5
14	3	0.0706269	0.000146847	1	4
14	4	0.0929251	0.000123748	0	7
14	5	0.114516	0.000259411	0	2
14	6	0.135073	0.00019422	0	4
14	7	0.155343	0.00018269	1	5
14	8	0.174881	0.000250478	2	3
14	9	0.193471	0.000198121	1	5
14	10	0.21203	0.000268703	0	3
14	11	0.230074	0.000209695	1	5
14	12	0.247455	0.00049997	1	1
14	13	0.264684	0.000357605	0	2
14	14	0.28016	0.000520296	0	1
14	15	0.295543	0.000298572	2	3
14	16	0.311383	0.000302708	1	3
14	21	0.379837	0.000316316	2	3
14	22	0.393088	0.000565897	0	1
14	25	0.428366	0.000573319	0	1
14	28	0.460456	0.00057748	0	1
14	29	0.470955	0.000578316	0	1
14	37	0.542849	0.000577163	0	1
14	51	0.636173	0.000557397	1	1
14	68	0.714649	0.000523197	0	1
15	1	0.0267578	4.91278e-05	2	14
15	2	0.0526265	0.000114602	0	5
15	3	0.0773328	0.000153205	0	4
15	4	0.101435	0.000128468	0	7
15	5	0.125164	0.000269752	0	2
15	6	0.147394	0.0002013	2	4
15	7	0.168702	0.000188609	0	5
15	8	0.190093	0.00025858	1	3
15	9	0.210015	0.000203967	1	5
15	10	0.229541	0.000276265	1	3
15	11	0.248333	0.000215045	0	5
15	12	0.266704	0.00051237	0	1
15	13	0.2839	0.000365584	1	2
15	14	0.300411	0.00053114	0	1
15	15	0.317406	0.000304379	1	3
15	16	0.332987	0.000308116	0	3
15	21	0.404068	0.000319977	1	3
15	22	0.416697	0.000571198	1	1
15	25	0.45245	0.000576669	1	1
15	28	0.485623	0.000579055	1	1
15	29	0.495065	0.000579266	0	1
15	37	0.567298	0.000574023	0	1
15	51	0.659217	0.000549139	1	1
15	68	0.734184	0.000511826	1	1
17	1	0.0321435	5.36403e-05	1	14
17	2	0.0629436	0.000124305	0	5
17	3	0.0922407	0.00016567	0	4
17	4	0.119904	0.000138116	1	7
17	5	0.147126	0.000288636	1	2
17	6	0.172448	0.000214553	2	4
17	7	0.197164	0.000200137	2	5
17	8	0.220412	0.000273383	1	3
17	9	0.24282	0.000214701	0	5
17	10	0.264627	0.000289729	1	3
17	11	0.285515	0.000224924	0	5
17	12	0.303948	0.000532905	0	1
17	13	0.323771	0.000379584	0	2
17	14	0.341322	0.000549349	1	1
17	15	0.358915	0.000313621	1	3
17	16	0.375562	0.000316653	0	3
17	21	0.449457	0.000325132	3	3
17	22	0.463185	0.000577722	1	1
17	25	0.498775	0.000579293	1	1
17	28	0.532642	0.000578059	0	1
17	29	0.542088	0.000577239	1	1
17	37	0.612161	0.000564531	0	1
17	51	0.698313	0.000531781	0	1
17	68	0.768551	0.000488645	0	1
19	1	0.0380447	5.80622e-05	1	14
19	2	0.0741002	0.000134068	0	5
19	3	0.107825	0.000177517	0	4
19	4	0.140237	0.000147436	1	7
19	5	0.170547	0.000306326	0	2
19	6	0.199283	0.000226685	0	4
19	7	0.22637	0.000210137	0	5
19	8	0.251767	0.000285692	0	3
19	9	0.276018	0.000223567	2	5
19	10	0.299613	0.000300399	1	3
19	11	0.322053	0.00023273	3	5
19	12	0.343622	0.000550233	0	1
19	13	0.362724	0.000389895	1	2
19	14	0.381883	0.000562898	1	1
19	15	0.399912	0.000320626	2	3
19	16	0.417581	0.00032277	1	3
19	21	0.492356	0.000326783	0	3
19	22	0.506095	0.000579252	1	1
19	25	0.542516	0.000577196	1	1
19	28	0.574089	0.0005729	1	1
19	29	0.584218	0.000571018	1	1
19	37	0.65227	0.000551778	1	1
19	51	0.733662	0.000512146	0	1
19	68	0.795997	0.000466878	1	1
